s,cx,cy,lx,ly,rx,ry
180.381,149.966,51.8405,144.97,51.6564,154.963,52.0245
180.88,149.945,52.3397,144.951,52.1057,154.94,52.5737
181.38,149.919,52.8387,144.927,52.5548,154.911,53.1226
181.88,149.888,53.3374,144.9,53.0037,154.877,53.6712
182.379,149.853,53.8358,144.867,53.4522,154.838,54.2194
182.879,149.812,54.3338,144.831,53.9004,154.793,54.7672
183.379,149.766,54.8314,144.789,54.3482,154.743,55.3145
183.878,149.715,55.3285,144.744,54.7956,154.687,55.8613
184.378,149.66,55.825,144.694,55.2425,154.625,56.4075
184.878,149.599,56.321,144.639,55.6889,154.559,56.9531
185.377,149.533,56.8163,144.58,56.1347,154.487,57.4979
185.877,149.463,57.311,144.516,56.5799,154.409,58.0421
186.377,149.387,57.8049,144.448,57.0244,154.326,58.5854
186.876,149.307,58.298,144.376,57.4682,154.237,59.1278
187.376,149.221,58.7904,144.299,57.9113,154.143,59.6694
187.876,149.131,59.2818,144.218,58.3536,154.044,60.21
188.375,149.036,59.7723,144.132,58.7951,153.939,60.7495
188.875,148.936,60.2618,144.042,59.2357,153.829,61.288
189.375,148.831,60.7504,143.948,59.6753,153.714,61.8254
189.874,148.721,61.2378,143.849,60.114,153.593,62.3616
190.374,148.606,61.7241,143.745,60.5517,153.467,62.8965
190.874,148.486,62.2093,143.638,60.9883,153.335,63.4302
191.373,148.362,62.6932,143.526,61.4239,153.198,63.9625
191.873,148.233,63.1758,143.409,61.8583,153.056,64.4934
192.373,148.099,63.6572,143.289,62.2915,152.909,65.0229
192.872,147.96,64.1372,143.164,62.7234,152.756,65.5509
193.372,147.816,64.6157,143.034,63.1542,152.598,66.0773
193.872,147.668,65.0928,142.901,63.5836,152.434,66.6021
194.371,147.514,65.5684,142.763,64.0116,152.266,67.1253
194.871,147.357,66.0425,142.621,64.4382,152.092,67.6467
195.371,147.194,66.5149,142.474,64.8634,151.913,68.1664
195.87,147.026,66.9857,142.324,65.2871,151.729,68.6843
196.37,146.854,67.4548,142.169,65.7093,151.54,69.2003
196.87,146.678,67.9222,142.01,66.13,151.345,69.7144
197.369,146.496,68.3877,141.847,66.549,151.146,70.2265
197.869,146.31,68.8515,141.679,66.9663,150.941,70.7366
198.369,146.119,69.3133,141.507,67.382,150.731,71.2446
198.868,145.924,69.7732,141.332,67.7959,150.516,71.7505
199.368,145.724,70.2312,141.152,68.2081,150.297,72.2543
199.868,145.52,70.6871,140.968,68.6184,150.072,72.7558
200.368,145.311,71.1409,140.78,69.0269,149.842,73.255
